2024-11-14 20:13:32,929 INFO    MainThread:23992 [wandb_setup.py:_flush():79] Current SDK version is 0.18.7
2024-11-14 20:13:32,930 INFO    MainThread:23992 [wandb_setup.py:_flush():79] Configure stats pid to 23992
2024-11-14 20:13:32,930 INFO    MainThread:23992 [wandb_setup.py:_flush():79] Loading settings from C:\Users\zh-ya\.config\wandb\settings
2024-11-14 20:13:32,930 INFO    MainThread:23992 [wandb_setup.py:_flush():79] Loading settings from D:\Seafile\私人资料库\课外学习&竞赛资料\九坤字符猎手挑战赛\wandb\settings
2024-11-14 20:13:32,930 INFO    MainThread:23992 [wandb_setup.py:_flush():79] Loading settings from environment variables: {}
2024-11-14 20:13:32,930 INFO    MainThread:23992 [wandb_setup.py:_flush():79] Applying setup settings: {'mode': None, '_disable_service': None}
2024-11-14 20:13:32,934 INFO    MainThread:23992 [wandb_setup.py:_flush():79] Inferring run settings from compute environment: {'program_relpath': 'train.py', 'program_abspath': 'D:\\Seafile\\私人资料库\\课外学习&竞赛资料\\九坤字符猎手挑战赛\\train.py', 'program': 'D:\\Seafile\\私人资料库\\课外学习&竞赛资料\\九坤字符猎手挑战赛\\train.py'}
2024-11-14 20:13:32,934 INFO    MainThread:23992 [wandb_setup.py:_flush():79] Applying login settings: {}
2024-11-14 20:13:32,934 INFO    MainThread:23992 [wandb_init.py:_log_setup():533] Logging user logs to ./wandb_logs\wandb\run-20241114_201332-2k5zk4rb\logs\debug.log
2024-11-14 20:13:32,934 INFO    MainThread:23992 [wandb_init.py:_log_setup():534] Logging internal logs to ./wandb_logs\wandb\run-20241114_201332-2k5zk4rb\logs\debug-internal.log
2024-11-14 20:13:32,934 INFO    MainThread:23992 [wandb_init.py:init():619] calling init triggers
2024-11-14 20:13:32,934 INFO    MainThread:23992 [wandb_init.py:init():626] wandb.init called with sweep_config: {}
config: {'learning_rate': 0.001, 'batch_size': 128, 'epochs': 50, 'model': 'resnet18-openmax', 'num_classes': 20}
2024-11-14 20:13:32,934 INFO    MainThread:23992 [wandb_init.py:init():669] starting backend
2024-11-14 20:13:32,934 INFO    MainThread:23992 [wandb_init.py:init():673] sending inform_init request
2024-11-14 20:13:32,936 INFO    MainThread:23992 [backend.py:_multiprocessing_setup():104] multiprocessing start_methods=spawn, using: spawn
2024-11-14 20:13:32,936 INFO    MainThread:23992 [wandb_init.py:init():686] backend started and connected
2024-11-14 20:13:32,938 INFO    MainThread:23992 [wandb_init.py:init():781] updated telemetry
2024-11-14 20:13:33,083 INFO    MainThread:23992 [wandb_init.py:init():814] communicating run to backend with 90.0 second timeout
2024-11-14 20:13:34,077 INFO    MainThread:23992 [wandb_init.py:init():867] starting run threads in backend
2024-11-14 20:13:34,123 INFO    MainThread:23992 [wandb_run.py:_console_start():2456] atexit reg
2024-11-14 20:13:34,123 INFO    MainThread:23992 [wandb_run.py:_redirect():2305] redirect: wrap_raw
2024-11-14 20:13:34,124 INFO    MainThread:23992 [wandb_run.py:_redirect():2370] Wrapping output streams.
2024-11-14 20:13:34,124 INFO    MainThread:23992 [wandb_run.py:_redirect():2395] Redirects installed.
2024-11-14 20:13:34,126 INFO    MainThread:23992 [wandb_init.py:init():911] run started, returning control to user process
